iter	Logloss
0	0.3746062286
1	0.3097687753
2	0.2937216519
3	0.2853718382
4	0.2695877838
5	0.255852355
6	0.2492299055
7	0.2426878463
8	0.2380821583
9	0.2319998111
10	0.2274934372
11	0.2234931088
12	0.2184467591
13	0.2135393972
14	0.2101117857
15	0.2067561944
16	0.2045306897
17	0.2016180015
18	0.1998392864
19	0.1985776487
20	0.197869217
21	0.1968027755
22	0.1959795705
23	0.1942221036
24	0.1915190473
25	0.1909139578
26	0.1892763235
27	0.1868288002
28	0.1865189719
29	0.1840968731
30	0.1827291396
31	0.1823514336
32	0.1817088748
33	0.1797128801
34	0.1782850416
35	0.1779346703
36	0.175372748
37	0.1740666584
38	0.1737201392
39	0.1733953984
40	0.1725837458
41	0.1721634473
42	0.1716983288
43	0.1712095163
44	0.1707238978
45	0.1701025972
46	0.1696710867
47	0.1686717771
48	0.1682509495
49	0.1676625449
50	0.1674035035
51	0.1670340413
52	0.1659916385
53	0.165725377
54	0.1642780352
55	0.1632194975
56	0.1628907909
57	0.1625370456
58	0.1622889814
59	0.161890108
60	0.1616371297
61	0.1612920413
62	0.1610778567
63	0.1607751894
64	0.1604794269
65	0.1590515449
66	0.1587613714
67	0.1584746091
68	0.1582408455
69	0.1579508099
70	0.1576683326
71	0.1574336809
72	0.1572775811
73	0.1569790142
74	0.1559695022
75	0.1556975878
76	0.1554423196
77	0.1546538315
78	0.1544046941
79	0.1541573093
80	0.1533976567
81	0.1531515546
82	0.1524261598
83	0.1515583604
84	0.1506903426
85	0.1504591144
86	0.1500642785
87	0.1493693112
88	0.1491390226
89	0.1490033452
90	0.1487866911
91	0.1485869209
92	0.1478904459
93	0.1476998391
94	0.1475798981
95	0.1473863709
96	0.1468286487
97	0.1466509248
98	0.1463346772
99	0.1461377747
