iter	Passed	Remaining
0	17	1683
1	33	1665
2	48	1580
3	63	1535
4	80	1527
5	94	1481
6	109	1450
7	123	1425
8	139	1406
9	153	1383
10	167	1358
11	182	1340
12	196	1316
13	211	1298
14	230	1305
15	246	1296
16	262	1282
17	276	1261
18	290	1240
19	305	1222
20	320	1204
21	335	1188
22	349	1171
23	364	1153
24	379	1138
25	393	1120
26	408	1103
27	422	1086
28	440	1079
29	454	1061
30	469	1046
31	485	1031
32	499	1014
33	514	998
34	529	983
35	544	968
36	558	950
37	572	933
38	586	916
39	599	899
40	614	883
41	629	869
42	646	857
43	663	844
44	679	830
45	694	815
46	709	800
47	728	789
48	746	777
49	765	765
50	781	750
51	795	734
52	809	717
53	824	702
54	838	686
55	857	673
56	874	659
57	891	645
58	906	630
59	921	614
60	936	598
61	952	583
62	966	567
63	981	552
64	996	536
65	1010	520
66	1025	505
67	1040	489
68	1056	474
69	1072	459
70	1090	445
71	1106	430
72	1121	414
73	1137	399
74	1154	384
75	1168	369
76	1183	353
77	1199	338
78	1217	323
79	1240	310
80	1263	296
81	1288	282
82	1311	268
83	1328	252
84	1344	237
85	1359	221
86	1376	205
87	1392	189
88	1407	174
89	1423	158
90	1439	142
91	1453	126
92	1468	110
93	1487	94
94	1503	79
95	1519	63
96	1535	47
97	1550	31
98	1570	15
99	1587	0
